District,Crop,Season,Year,Rainfall_mm,Temperature_Max_C,Temperature_Min_C,Humidity_Percent,Soil_pH,Organic_Carbon_Percent,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Percent,Fertilizer_N_kg_ha,Fertilizer_P_kg_ha,Fertilizer_K_kg_ha,Seed_Quality,Farm_Size_ha,Mechanization,Yield_kg_ha
Koraput,Paddy,Rabi,2023,204.8,27.7,18.2,70.4,7.36,0.633,112.0,17.6,144.7,76.9,144.6,49.4,43.6,Medium,1.0,Medium,2470.0
Jajpur,Maize,Rabi,2020,154.9,27.9,17.1,72.4,5.49,0.625,199.0,16.6,117.0,44.4,166.0,68.8,53.4,Low,0.47,Medium,2126.0
Baragarh,Paddy,Rabi,2019,222.7,25.0,16.8,54.2,4.68,0.538,151.4,27.6,148.2,65.1,124.8,60.5,46.7,Medium,3.84,Low,2368.0
Angul,Paddy,Kharif,2022,1218.2,38.1,22.7,75.8,6.64,0.417,177.1,15.2,83.7,66.0,125.1,59.4,36.3,Medium,2.46,Medium,2482.0
Angul,Paddy,Rabi,2019,224.1,28.3,15.3,59.5,7.12,0.788,234.6,14.2,137.7,21.9,139.3,51.3,50.1,Low,3.8,Low,1192.0
Keonjhar,Maize,Kharif,2021,1111.9,32.3,21.4,67.0,7.43,0.571,175.8,21.6,122.8,30.7,110.6,69.5,59.5,Medium,2.16,Medium,3161.0
Dhenkanal,Paddy,Kharif,2019,1262.4,34.5,22.6,95.0,5.32,0.496,253.7,34.4,137.5,39.4,98.9,28.4,48.8,High,0.27,Low,3016.0
Keonjhar,Paddy,Kharif,2018,1332.7,29.6,23.8,65.8,7.63,0.577,148.4,28.6,155.1,53.3,79.4,85.5,31.6,Low,3.4,High,3467.0
Koraput,Maize,Summer,2020,79.7,32.5,26.6,41.8,4.62,0.514,91.6,27.1,106.0,44.4,112.5,38.1,36.4,Medium,1.0,Medium,1500.0
Balasore,Paddy,Kharif,2022,1556.1,28.9,25.2,84.5,6.34,0.611,174.6,27.2,133.0,47.1,113.5,82.6,37.6,Low,0.05,Medium,3732.0
Balasore,Paddy,Kharif,2019,1318.7,25.0,20.3,82.3,6.09,0.31,153.6,11.4,146.3,56.6,111.7,79.0,24.1,High,1.34,Low,1928.0
Koraput,Paddy,Summer,2019,93.6,39.7,30.0,48.9,7.06,0.594,185.3,21.1,146.7,25.2,114.5,57.7,39.9,Low,7.46,Low,1501.0
Sambalpur,Paddy,Kharif,2022,1221.6,31.9,23.5,81.4,7.17,0.5,158.6,28.0,153.8,27.3,141.5,44.4,44.4,High,3.48,High,4177.0
Koraput,Paddy,Rabi,2020,181.3,28.1,22.6,70.3,5.3,0.407,192.6,24.6,146.1,29.7,89.6,52.0,16.5,Medium,0.09,Medium,2483.0
Keonjhar,Paddy,Kharif,2021,1313.8,30.0,25.3,72.5,6.2,0.753,160.5,26.8,159.1,54.0,82.1,68.6,47.0,Medium,0.86,Low,3480.0
Jagatsinghpur,Paddy,Kharif,2022,1221.4,30.8,26.5,62.8,5.5,0.481,94.6,8.9,222.1,35.3,110.4,75.6,54.3,High,0.97,Low,1296.0
Jajpur,Maize,Rabi,2023,248.5,25.7,18.8,69.0,5.86,0.413,160.9,37.8,116.8,21.4,127.5,59.7,38.4,Medium,3.17,Low,2295.0
Jagatsinghpur,Paddy,Kharif,2018,1215.5,33.3,24.3,75.5,6.26,0.621,186.4,29.6,143.4,15.1,142.4,84.9,23.2,Low,0.6,Medium,2817.0
Cuttack,Maize,Rabi,2020,221.9,25.0,15.5,67.1,6.51,0.686,246.5,22.8,173.5,8.3,92.5,35.1,47.4,Medium,0.47,High,3632.0
Jajpur,Paddy,Rabi,2022,214.0,28.0,18.6,61.6,4.65,0.567,269.1,31.8,160.3,45.4,52.8,44.2,39.4,Medium,2.55,Medium,2803.0
Puri,Paddy,Rabi,2021,183.4,27.9,21.4,58.5,5.92,0.699,150.7,20.8,99.5,67.8,80.3,42.4,37.2,Medium,3.76,Medium,2065.0
Khordha,Paddy,Kharif,2022,1333.7,28.1,24.5,87.9,5.39,0.579,139.3,33.8,209.2,14.9,113.2,51.4,24.3,Medium,2.92,High,2847.0
Jagatsinghpur,Paddy,Rabi,2019,104.5,25.0,15.3,67.5,4.89,0.599,146.9,34.6,129.0,46.7,133.4,66.1,27.9,Medium,0.54,Medium,2031.0
Jagatsinghpur,Maize,Summer,2020,151.2,40.4,25.8,48.0,5.45,0.423,156.0,32.5,145.8,20.3,169.6,59.8,34.4,Medium,4.41,Medium,2350.0
Dhenkanal,Paddy,Rabi,2020,234.1,26.6,18.7,50.7,6.18,0.807,159.2,24.2,187.4,61.6,89.1,65.7,53.7,Medium,4.78,Medium,3516.0
Sambalpur,Paddy,Rabi,2022,114.1,28.1,19.8,62.6,6.22,0.578,169.2,27.0,153.9,30.6,162.8,69.9,32.0,High,0.61,Low,3265.0
Koraput,Paddy,Rabi,2023,184.2,31.0,15.6,60.3,5.88,0.67,158.3,17.3,150.3,82.1,109.6,59.9,40.1,Medium,0.6,Medium,2284.0
Sambalpur,Paddy,Rabi,2022,212.2,25.7,18.6,57.3,5.8,0.644,294.9,29.5,191.5,25.9,62.5,40.0,41.6,Medium,5.87,Medium,2972.0
Balasore,Paddy,Rabi,2022,206.4,27.3,18.4,62.3,5.72,0.44,177.7,31.7,112.3,68.3,154.5,48.3,34.5,High,0.22,Medium,2808.0
Sambalpur,Paddy,Kharif,2019,1342.9,30.5,24.0,72.5,5.88,0.526,142.8,18.8,131.7,61.7,146.9,46.3,56.3,High,0.23,Low,3661.0
Koraput,Paddy,Kharif,2018,1329.9,31.0,27.1,62.1,5.47,0.603,176.8,21.0,156.1,14.1,95.9,65.8,32.8,Medium,0.83,High,2649.0
Baragarh,Paddy,Summer,2021,117.0,36.4,28.7,43.4,6.17,0.45,267.4,15.2,86.2,54.3,165.5,60.0,54.6,Medium,3.18,Medium,1617.0
Sambalpur,Maize,Kharif,2023,1241.4,34.8,21.7,74.7,6.24,0.776,182.4,17.2,161.2,14.8,140.3,60.8,57.9,Medium,3.04,Medium,3305.0
Jajpur,Maize,Rabi,2019,255.2,31.2,18.4,54.3,7.73,0.743,182.0,26.2,160.1,14.8,140.2,75.7,42.3,Medium,7.15,Medium,2854.0
Jagatsinghpur,Maize,Rabi,2019,240.9,33.8,15.0,54.4,7.08,0.767,181.3,-10.7,124.0,32.7,121.2,46.5,41.9,Medium,2.28,Low,1500.0
Keonjhar,Paddy,Kharif,2019,1074.7,30.5,25.5,78.2,6.25,0.317,151.4,31.0,111.5,37.4,138.8,50.6,25.3,High,2.69,High,3326.0
Mayurbhanj,Maize,Kharif,2018,990.0,35.2,20.0,83.5,6.47,0.928,206.0,29.0,120.2,29.6,121.2,48.5,21.6,High,1.79,Low,2533.0
Jagatsinghpur,Paddy,Rabi,2019,256.5,32.9,16.5,57.1,7.34,0.497,186.4,33.1,111.5,37.0,131.2,65.4,40.0,Low,5.89,Medium,1935.0
Koraput,Paddy,Kharif,2019,1225.2,30.2,22.6,74.5,6.76,0.597,161.6,20.7,161.0,68.5,122.3,48.4,47.5,Medium,0.23,Medium,3468.0
Angul,Maize,Kharif,2022,916.6,32.9,26.4,64.2,6.24,0.444,259.4,23.0,176.0,61.2,143.7,52.2,25.7,Low,1.25,Medium,4190.0
Kendrapara,Maize,Rabi,2022,316.1,25.0,20.4,64.8,6.77,0.498,245.4,18.5,151.3,57.9,99.1,99.4,53.4,Medium,5.27,Medium,2811.0
Puri,Paddy,Kharif,2022,968.8,29.4,24.4,82.8,5.11,0.512,172.8,39.4,153.4,75.0,136.4,39.2,46.2,Low,0.97,Medium,3270.0
Koraput,Paddy,Rabi,2022,216.4,28.8,19.4,65.2,5.38,0.607,118.6,31.9,191.0,34.8,144.4,59.2,43.8,Low,5.12,High,2102.0
Khordha,Paddy,Kharif,2023,1131.8,28.0,22.7,68.8,4.5,0.442,212.5,27.3,172.0,52.9,127.4,102.9,27.0,Medium,1.3,High,4653.0
Dhenkanal,Paddy,Kharif,2020,1041.4,26.7,24.4,81.0,5.41,0.47,241.7,34.3,98.0,41.6,69.2,56.0,50.9,Medium,12.53,Low,1963.0
Baragarh,Paddy,Kharif,2021,1249.3,36.5,23.9,74.8,7.18,0.857,264.6,22.0,140.4,18.7,141.0,65.8,21.9,Low,0.05,Medium,2740.0
Balasore,Paddy,Rabi,2021,155.2,25.4,15.0,66.0,6.39,0.887,199.5,21.0,108.0,28.5,148.4,54.2,21.1,Medium,5.29,Medium,2172.0
Sambalpur,Paddy,Rabi,2018,147.5,31.2,15.5,52.8,7.81,0.596,205.5,34.2,131.5,43.1,159.2,40.7,42.0,Medium,2.49,Medium,2533.0
Jagatsinghpur,Maize,Kharif,2021,1160.8,31.7,23.0,70.9,6.42,0.53,159.6,21.4,170.2,38.5,111.1,59.6,44.4,High,3.67,High,4445.0
Ganjam,Paddy,Kharif,2019,1030.0,33.7,25.3,80.9,6.61,0.54,168.7,7.2,138.1,24.1,64.1,45.5,32.8,High,0.98,High,1015.0
Angul,Paddy,Kharif,2022,1823.6,25.9,25.4,86.0,5.85,0.6,204.4,26.1,88.2,44.6,111.3,39.3,38.3,High,7.96,High,2813.0
Jagatsinghpur,Paddy,Kharif,2023,1177.6,27.0,26.2,86.0,6.5,0.486,171.4,22.7,101.3,50.4,140.6,63.9,29.9,Medium,3.74,Low,2303.0
Ganjam,Maize,Kharif,2023,928.5,32.6,23.7,78.1,6.72,0.7,163.5,9.1,89.9,21.3,123.1,87.0,41.0,High,2.84,High,1694.0
Keonjhar,Maize,Kharif,2020,1240.5,33.0,23.2,78.1,7.94,0.558,222.8,36.4,99.2,37.0,76.4,44.9,52.3,Medium,6.36,High,2442.0
Kendrapara,Paddy,Rabi,2019,163.6,27.6,15.7,56.1,6.25,0.407,240.3,30.5,177.8,34.3,68.7,32.7,42.3,Medium,0.39,Low,3105.0
Kendrapara,Maize,Kharif,2022,767.2,34.9,23.9,73.0,4.66,0.577,168.0,26.8,125.1,24.6,72.8,49.9,22.5,High,4.01,Low,2247.0
Angul,Paddy,Rabi,2018,232.6,30.1,20.4,62.2,5.73,0.693,157.5,23.3,130.8,35.2,118.9,57.7,27.7,Low,6.0,Medium,2527.0
Ganjam,Paddy,Kharif,2023,1054.5,33.5,24.7,85.3,6.34,0.5,232.9,30.8,127.5,21.2,134.6,65.4,29.0,Medium,1.2,High,3420.0
Cuttack,Paddy,Summer,2020,115.6,25.9,23.1,40.0,5.38,0.57,249.7,29.1,136.7,50.0,194.7,37.4,53.5,Medium,8.04,Low,2013.0
Keonjhar,Paddy,Kharif,2020,860.7,35.0,27.2,60.9,5.39,0.571,239.2,18.3,157.9,19.6,169.1,77.9,36.8,Medium,6.49,High,2450.0
Balasore,Paddy,Rabi,2018,203.0,32.7,20.6,81.0,5.58,0.419,185.4,28.3,145.0,38.4,148.7,63.7,70.0,High,0.23,Medium,3469.0
Mayurbhanj,Maize,Kharif,2020,977.5,29.1,23.4,74.1,4.99,0.785,156.6,18.0,134.4,52.7,144.4,59.6,37.7,Medium,1.59,Medium,3410.0
Ganjam,Paddy,Kharif,2020,1200.5,28.0,24.2,82.5,5.03,0.472,202.7,16.3,138.9,61.1,124.0,73.7,51.3,High,0.68,Medium,3149.0
Keonjhar,Paddy,Rabi,2020,170.5,27.5,20.0,67.5,6.43,0.603,198.7,24.1,172.1,19.7,142.5,67.0,51.7,High,0.39,Medium,2631.0
Keonjhar,Maize,Rabi,2019,264.3,25.2,16.7,66.4,5.56,0.681,148.4,27.9,160.0,65.6,113.0,41.0,48.4,High,6.17,Medium,3842.0
Koraput,Paddy,Kharif,2021,1058.1,31.9,24.4,83.3,6.01,0.439,105.6,25.8,144.5,24.7,145.7,76.7,24.6,Medium,2.34,Low,1990.0
Jagatsinghpur,Maize,Rabi,2020,132.5,31.4,17.4,77.5,5.83,0.504,174.7,12.7,88.3,40.9,156.9,45.1,44.1,Low,5.1,Medium,1500.0
Mayurbhanj,Paddy,Kharif,2018,1452.0,28.0,23.2,75.5,5.97,0.59,120.8,15.8,189.6,4.7,108.8,62.4,55.6,Medium,7.54,High,2365.0
Jajpur,Paddy,Summer,2018,146.5,40.5,27.6,75.5,7.5,0.527,157.2,30.0,204.3,66.7,146.6,42.1,59.8,Low,2.65,Low,2053.0
Balasore,Paddy,Rabi,2021,173.7,25.0,15.0,68.3,5.51,0.694,155.7,14.2,186.9,50.3,171.0,66.0,44.7,Medium,1.72,Medium,1678.0
Dhenkanal,Paddy,Kharif,2021,981.6,30.9,23.4,69.5,7.21,0.64,188.3,30.2,89.8,3.4,137.4,60.0,32.9,High,0.5,Medium,1885.0
Balasore,Paddy,Kharif,2021,1243.0,36.6,24.7,69.7,5.01,0.759,157.0,14.9,140.6,33.3,120.0,85.8,29.5,Medium,0.44,Medium,1940.0
Kendrapara,Paddy,Rabi,2019,99.5,28.1,17.1,60.1,6.71,0.411,202.8,31.6,102.0,64.0,123.6,60.1,31.7,Medium,4.54,Low,2102.0
Balasore,Paddy,Rabi,2022,233.7,25.7,17.8,62.4,5.11,0.464,124.3,15.1,110.1,35.3,86.2,71.2,42.6,Medium,1.34,Medium,1648.0
Mayurbhanj,Paddy,Kharif,2020,1591.4,28.9,23.8,72.0,6.19,0.26,239.9,25.2,182.1,23.2,124.5,48.1,34.7,Medium,0.64,Medium,4624.0
Kendrapara,Paddy,Rabi,2019,275.8,28.4,18.0,59.0,4.97,0.664,194.1,28.0,129.0,26.2,101.0,39.2,42.0,High,1.0,Medium,2720.0
Baragarh,Maize,Rabi,2020,216.0,28.0,16.2,56.5,5.75,0.407,155.7,24.2,149.1,50.0,139.6,84.1,37.8,Low,1.4,Low,3009.0
Jagatsinghpur,Paddy,Rabi,2022,282.2,29.0,19.7,73.4,6.8,0.755,165.1,32.7,218.7,29.5,88.1,61.7,44.9,High,0.7,Low,2933.0
Balasore,Paddy,Kharif,2018,1488.7,30.4,22.9,81.2,6.43,0.2,145.2,21.0,114.6,53.8,59.0,83.5,34.1,Low,1.78,Medium,2692.0
Angul,Paddy,Kharif,2019,993.7,31.7,24.3,73.6,5.94,0.827,200.0,18.8,172.8,29.8,69.9,77.3,46.8,Medium,2.57,Medium,2638.0
Sambalpur,Maize,Rabi,2022,216.5,26.9,21.5,62.7,5.58,0.555,138.6,18.0,182.8,49.6,114.9,91.3,39.4,Medium,0.47,Low,2491.0
Khordha,Paddy,Kharif,2018,1316.7,33.6,25.3,81.3,4.93,0.292,137.9,31.6,134.7,27.6,54.8,57.2,45.4,Low,0.91,High,2177.0
Sambalpur,Paddy,Rabi,2019,134.4,31.6,18.4,69.0,6.8,0.567,202.3,29.3,81.4,41.1,105.1,54.1,48.2,Low,1.01,Medium,1298.0
Khordha,Paddy,Kharif,2022,1457.3,32.8,22.4,82.9,7.71,0.573,205.9,35.0,208.8,21.6,158.3,83.3,35.8,Low,4.84,High,3924.0
Cuttack,Maize,Kharif,2020,1247.8,27.2,23.9,65.5,6.15,0.307,195.3,14.9,149.6,17.6,134.8,59.7,35.3,Medium,4.02,Medium,2444.0
Puri,Paddy,Kharif,2018,1155.6,33.1,24.4,82.2,5.19,0.2,180.0,31.6,136.2,67.8,161.4,59.4,47.5,Low,1.2,Medium,2985.0
Angul,Paddy,Rabi,2022,229.0,27.0,18.6,69.3,5.15,0.351,226.1,21.9,126.3,35.8,137.0,67.6,34.5,Low,2.51,Medium,1892.0
Puri,Paddy,Kharif,2021,1070.4,32.6,25.4,77.8,6.41,0.2,244.0,31.2,175.5,39.5,132.8,72.1,42.8,High,0.04,Medium,4657.0
Angul,Paddy,Rabi,2019,142.3,28.6,19.5,61.3,5.94,0.663,187.6,32.1,175.7,40.4,137.6,49.6,28.3,Medium,1.73,Medium,2712.0
Sambalpur,Paddy,Rabi,2018,180.7,25.7,21.9,64.4,8.41,0.409,164.9,25.2,152.6,89.6,96.7,60.8,44.1,Low,4.45,Medium,2417.0
Khordha,Paddy,Kharif,2022,1120.5,35.3,25.4,81.6,7.02,0.602,170.5,12.1,215.2,50.4,89.8,66.9,30.6,Medium,4.09,Medium,1540.0
Khordha,Paddy,Rabi,2020,178.0,26.0,17.1,58.7,6.74,0.736,111.7,17.1,71.4,37.8,133.7,83.3,32.6,High,4.54,Medium,1728.0
Angul,Maize,Rabi,2020,127.9,29.2,17.5,64.8,5.23,0.733,203.3,26.7,90.0,71.1,181.9,51.7,53.4,Medium,0.63,High,2853.0
Angul,Paddy,Kharif,2020,917.8,30.0,24.3,72.8,6.15,0.622,193.8,36.5,184.2,39.0,134.9,47.1,48.3,Low,1.45,Low,3652.0
Kendrapara,Paddy,Summer,2019,51.5,45.0,22.9,42.6,6.7,0.576,118.7,18.1,135.9,45.2,187.0,59.0,40.8,Low,2.74,Low,1147.0
Keonjhar,Paddy,Kharif,2018,1230.6,28.6,22.6,74.0,6.51,0.786,161.3,37.3,223.6,37.4,109.3,73.3,24.5,Low,2.57,Medium,3099.0
Puri,Paddy,Summer,2022,66.7,30.9,24.4,52.7,6.58,0.505,198.8,25.9,113.8,6.3,195.8,81.9,44.6,Medium,7.88,Low,2039.0
Cuttack,Paddy,Summer,2018,97.6,35.9,25.6,43.2,6.58,0.406,181.3,29.0,170.5,55.2,60.9,68.0,43.0,High,1.71,High,4346.0
Mayurbhanj,Paddy,Kharif,2020,1295.2,31.6,20.7,69.8,6.58,0.3,167.3,25.3,190.2,55.6,139.6,46.0,45.9,High,0.25,Low,4781.0
Ganjam,Paddy,Summer,2021,83.9,38.6,30.0,61.2,4.92,0.413,140.3,36.5,194.0,36.0,91.1,56.3,25.5,Medium,1.39,Low,1803.0
Mayurbhanj,Paddy,Kharif,2022,1030.4,33.6,22.3,70.7,5.83,0.235,219.5,18.0,133.9,17.9,146.5,62.5,43.3,High,2.87,High,3398.0
Dhenkanal,Paddy,Kharif,2019,1048.4,30.7,19.2,93.6,6.3,0.427,175.1,24.9,219.2,32.4,167.2,30.7,48.5,High,0.87,Medium,4718.0
Jajpur,Paddy,Kharif,2023,982.3,28.4,24.1,88.0,5.59,0.541,184.1,24.4,160.8,64.1,96.7,45.0,36.3,High,2.59,High,4476.0
Balasore,Paddy,Summer,2023,73.5,36.9,18.6,52.6,5.15,0.727,157.8,30.9,163.5,20.4,109.3,65.7,44.8,Medium,1.51,Medium,2051.0
Jagatsinghpur,Paddy,Kharif,2022,1329.8,31.7,22.2,76.3,4.82,0.567,102.6,25.9,125.3,23.9,143.9,45.8,28.9,Medium,0.64,Low,1753.0
Balasore,Paddy,Kharif,2018,1066.1,34.1,25.7,78.1,6.7,0.686,184.3,26.8,172.4,23.6,98.4,71.6,40.9,Low,0.71,Low,2609.0
Angul,Paddy,Summer,2022,72.1,33.1,23.6,49.9,5.86,0.225,132.3,26.4,125.4,44.1,108.0,25.0,41.1,Medium,2.41,Medium,2221.0
Baragarh,Paddy,Kharif,2018,1409.1,32.3,23.5,86.1,6.96,0.337,214.5,23.6,159.7,48.8,79.4,50.7,44.4,Low,2.32,Low,2857.0
Puri,Paddy,Kharif,2021,932.3,33.0,23.6,68.8,6.07,0.467,162.2,35.9,175.1,48.0,130.6,76.6,50.5,High,7.52,Medium,4471.0
Jajpur,Paddy,Kharif,2023,766.7,39.8,25.2,78.1,5.77,0.452,182.0,17.6,173.8,17.1,137.4,69.5,25.4,Low,1.08,Medium,1845.0
Khordha,Maize,Summer,2023,128.6,32.6,27.2,70.0,4.94,0.533,184.6,24.2,143.0,32.3,157.0,38.6,54.8,Medium,8.68,Low,1964.0
Dhenkanal,Maize,Kharif,2023,1330.4,29.9,26.3,77.2,7.36,0.636,222.7,23.1,101.3,11.4,139.5,36.6,44.6,Medium,5.95,Medium,2635.0
Balasore,Paddy,Rabi,2022,234.6,25.0,16.2,71.0,5.2,0.494,210.4,28.3,162.5,40.0,131.6,71.5,38.4,Low,5.35,Low,2516.0
Mayurbhanj,Paddy,Rabi,2022,184.8,25.0,17.5,55.2,4.74,0.42,208.1,23.1,156.2,50.8,143.2,59.6,14.6,Medium,6.91,High,2550.0
Balasore,Paddy,Rabi,2022,149.0,25.8,15.0,69.4,6.7,0.53,166.0,16.3,161.6,10.3,160.4,52.2,44.3,High,2.78,Low,1626.0
Ganjam,Paddy,Rabi,2018,169.9,34.1,16.8,68.3,5.76,0.565,136.8,33.6,121.4,40.9,151.8,62.2,22.6,Medium,0.07,Low,1730.0
Puri,Paddy,Kharif,2022,1329.1,33.9,25.8,78.9,6.4,0.501,119.6,27.6,135.9,18.9,155.5,58.8,41.9,Medium,4.06,High,2895.0
Khordha,Paddy,Rabi,2022,204.0,25.0,17.3,58.9,6.09,0.518,185.2,28.7,183.8,59.7,110.3,45.2,44.7,High,7.25,Low,3903.0
Khordha,Maize,Summer,2021,146.7,32.1,30.0,46.4,5.71,0.643,200.3,24.2,123.3,30.1,75.9,63.8,50.7,High,5.01,Medium,2865.0
Ganjam,Maize,Kharif,2021,1153.6,30.7,24.5,67.8,5.59,0.386,150.3,20.1,105.0,36.3,162.4,68.8,63.4,Medium,2.37,Medium,2865.0
Cuttack,Paddy,Kharif,2021,1101.8,30.2,24.9,65.0,6.46,0.531,166.9,21.1,158.3,79.0,137.0,51.0,40.0,High,4.24,Medium,4966.0
Jagatsinghpur,Maize,Kharif,2022,1430.6,27.9,26.0,95.0,6.6,0.455,189.5,29.5,167.4,29.9,118.1,77.3,42.5,High,1.58,Medium,6170.0
Balasore,Maize,Summer,2023,107.7,30.6,24.9,50.2,5.84,0.519,182.2,40.4,168.3,35.2,111.3,62.0,39.8,Low,0.21,Medium,3346.0
Mayurbhanj,Paddy,Kharif,2018,1016.7,27.8,25.9,75.5,5.19,0.874,240.5,30.2,168.3,70.3,194.5,60.6,50.0,Medium,0.3,Medium,5008.0
Sambalpur,Maize,Kharif,2020,938.0,32.0,23.9,69.8,6.44,0.347,215.1,17.9,139.1,23.4,161.9,59.0,41.1,Low,0.6,Medium,2951.0
Dhenkanal,Maize,Kharif,2019,843.2,31.0,26.1,72.0,6.23,0.399,167.2,19.1,167.4,58.2,92.0,96.4,49.1,High,0.47,Low,3154.0
Jagatsinghpur,Maize,Kharif,2020,1403.5,30.2,25.0,79.7,6.0,0.675,187.9,33.9,160.9,37.5,122.2,62.4,54.3,Medium,5.29,Low,4531.0
Koraput,Paddy,Summer,2018,62.2,36.5,22.3,53.8,5.61,0.546,191.2,36.6,182.6,20.5,113.5,98.7,32.8,Low,0.37,Medium,2334.0
Jajpur,Paddy,Kharif,2018,1107.9,33.0,23.2,77.6,4.5,0.687,105.0,12.4,114.5,43.4,58.6,66.5,27.6,High,0.95,Medium,1640.0
Mayurbhanj,Maize,Kharif,2018,1043.1,30.8,23.5,84.8,6.55,0.502,135.3,35.6,103.1,76.2,62.6,66.7,43.7,High,0.09,Medium,4118.0
Koraput,Paddy,Rabi,2023,189.1,33.0,15.8,67.6,7.12,0.401,123.3,14.9,163.8,27.5,117.6,59.2,32.2,High,6.88,Low,2033.0
Koraput,Maize,Kharif,2020,1348.6,27.1,24.2,70.0,6.53,0.592,119.1,36.5,127.4,4.4,121.5,58.3,24.1,Medium,4.75,Low,2352.0
Sambalpur,Maize,Kharif,2021,969.0,31.6,20.3,82.8,6.73,0.891,176.0,30.4,184.0,77.7,93.9,67.0,47.4,Medium,0.74,Low,4381.0
Sambalpur,Maize,Kharif,2021,1293.3,36.7,27.0,95.0,5.9,0.525,93.9,20.1,94.7,18.5,102.8,47.8,48.6,Low,2.71,Medium,1561.0
Mayurbhanj,Paddy,Kharif,2021,1069.1,38.0,22.9,88.5,5.62,0.406,160.0,20.8,124.6,52.8,112.7,60.4,43.1,Low,0.56,Medium,2365.0
Cuttack,Paddy,Kharif,2023,1454.7,33.4,22.9,80.2,5.48,0.599,167.0,27.3,195.5,37.2,48.6,42.8,42.4,Medium,0.72,High,4112.0
Balasore,Paddy,Kharif,2023,1287.9,32.6,22.0,75.6,7.22,0.605,86.4,31.6,164.3,33.3,123.6,56.9,33.9,High,0.09,Medium,1788.0
Jagatsinghpur,Paddy,Summer,2022,89.1,34.1,27.0,59.1,8.41,0.217,161.2,45.1,123.7,42.0,105.4,64.8,38.1,Low,2.71,Medium,1754.0
Dhenkanal,Paddy,Kharif,2018,1049.0,25.0,22.4,88.3,6.87,0.521,123.5,31.6,195.8,65.6,76.0,67.2,22.2,Low,0.87,Low,1854.0
Cuttack,Paddy,Rabi,2019,196.9,29.4,19.4,66.8,6.96,0.301,161.4,39.6,194.9,52.0,74.5,74.9,31.3,Medium,1.29,High,3633.0
Balasore,Paddy,Summer,2022,99.8,43.3,26.2,40.0,5.22,0.964,185.4,32.6,139.2,32.5,116.9,50.8,29.5,High,6.53,Low,2403.0
Cuttack,Paddy,Rabi,2019,239.2,30.1,18.3,63.7,5.71,0.374,128.1,13.0,172.1,23.3,109.8,83.6,35.2,Medium,0.2,Medium,1671.0
Mayurbhanj,Paddy,Summer,2018,81.9,42.8,28.8,52.6,5.51,0.711,161.1,27.7,130.1,49.0,164.6,34.0,45.8,Medium,0.18,Medium,1958.0
Khordha,Maize,Rabi,2020,197.9,29.4,22.3,65.6,7.4,0.698,159.8,23.6,137.6,52.5,92.4,40.7,27.5,High,1.0,Medium,3185.0
Cuttack,Paddy,Kharif,2019,1114.9,33.6,26.9,79.8,5.89,0.638,314.1,18.7,113.6,70.5,167.6,64.6,36.6,Medium,0.99,Medium,3201.0
Keonjhar,Paddy,Kharif,2018,1156.9,31.1,23.5,87.3,5.9,0.458,155.9,23.6,194.5,48.1,116.6,58.1,43.3,Medium,2.03,High,3766.0
Keonjhar,Paddy,Rabi,2023,150.4,27.5,19.5,73.3,7.37,0.619,144.8,36.8,183.7,34.3,91.2,62.3,46.0,Medium,0.73,Medium,2390.0
Angul,Maize,Rabi,2018,200.2,29.3,18.3,51.9,6.59,0.485,228.5,27.7,95.8,45.5,145.9,90.9,35.5,Medium,5.01,Medium,2130.0
Jajpur,Paddy,Rabi,2019,181.1,25.0,18.5,71.2,6.9,0.53,228.5,27.5,170.0,37.4,105.8,37.0,38.0,Medium,5.17,Low,2540.0
Keonjhar,Paddy,Rabi,2019,215.6,25.1,18.8,74.7,6.2,0.562,159.5,26.7,166.2,50.6,172.6,69.3,65.8,High,1.6,Medium,3538.0
Sambalpur,Paddy,Kharif,2022,1635.0,28.3,25.6,63.3,5.79,0.469,140.3,22.2,143.1,44.2,55.4,63.8,53.0,Low,0.49,Medium,2453.0
Kendrapara,Paddy,Kharif,2021,1174.4,29.6,21.7,71.7,6.61,0.688,208.3,13.2,169.3,45.4,113.4,85.0,37.2,Medium,3.37,High,2675.0
Koraput,Paddy,Rabi,2022,157.4,28.3,16.4,61.5,5.98,0.467,169.8,21.6,221.5,60.8,110.3,58.5,40.2,Low,0.65,Medium,2196.0
Baragarh,Paddy,Rabi,2018,241.6,28.1,20.5,58.0,4.89,0.564,172.6,31.8,152.9,61.6,104.5,70.6,44.8,Medium,4.64,Low,2566.0
Kendrapara,Paddy,Rabi,2019,224.4,28.2,17.1,64.0,4.79,0.711,211.5,9.6,143.5,34.1,90.2,61.5,41.9,Medium,4.25,Low,1000.0
Keonjhar,Maize,Kharif,2018,1024.3,25.8,23.4,81.2,6.85,0.747,120.1,25.6,117.1,17.8,106.7,75.0,21.7,Medium,3.41,Medium,3192.0
Angul,Maize,Kharif,2021,1220.3,30.0,26.9,71.1,7.1,0.629,173.1,44.5,166.9,78.0,106.9,47.6,51.5,Low,5.76,High,4811.0
Khordha,Maize,Rabi,2018,169.8,32.4,15.0,60.1,6.26,0.333,183.3,16.6,120.7,31.2,157.4,73.0,55.1,Low,1.04,Medium,1994.0
